question,answer,context
Give an example when we infer the motion indirectly.,"We infer the motion of air by observing the movement of dust particles or leaves and branches of trees, or simply by feeling the blowing air on our face.","Chapter 8 MOTION In everyday life, we see some objects at rest and others in motion. Birds fly, fish swim, blood flows through veins and arteries, and cars move. Atoms, molecules, planets, stars and galaxies are all in motion. We often perceive an object to be in motion when its position changes with time. However, there are situations where the motion is inferred through indirect evidences. For example, we infer the motion of air by observing the movement of dust and the movement of leaves and branches of trees. What causes the phenomena of sunrise, sunset and changing of seasons? Is it due to the motion of the earth? If it is true, why don’t we directly perceive the motion of the earth? An object may appear to be moving for one person and stationary for some other. For the passengers in a moving bus, the roadside trees appear to be moving backwards. A person standing on the road–side perceives the bus alongwith the passengers as moving. However, a passenger inside the bus sees his fellow passengers to be at rest. What do these observations indicate? Most motions are complex. Some objects may move in a straight line, others may take a circular path. Some may rotate and a few others may vibrate. There may be situations involving a combination of these. In this chapter, we shall first learn to describe the motion of objects along a straight line. We shall also learn to express such motions through simple equations and graphs. Later, we shall discuss ways of describing circular motion.
 "
What is essential to describe the position of an object ?,"We need to specify a reference point, called the origin.","8.1 Describing Motion We describe the location of an object by specifying a reference point. Let us understand this by an example. Let us assume that a school in a village is 2 km north of the railway station. We have specified the position of the school with respect to the railway station. In this example, the railway station is the reference point. We could have also chosen other reference points according to our convenience. Therefore, to describe the position of an object we need to specify a reference point called the origin.
 2021-22
 8.1.1 MOTION ALONG A STRAIGHT LINE The simplest type of motion is the motion along a straight line. We shall first learn to describe this by an example. Consider the motion of an object moving along a straight path. The object starts its journey from O which is treated as its reference point (Fig. 8.1). Let A, B and C represent the position of the object at different instants. At first, the object moves through C and B and reaches A. Then it moves back along the same path and reaches C through B.
 X and
 18 8
 X in the
 "
What is the simplest type of motion ?,Motion in a straight line.,"MOTION
 "
Are rest and motion absolute or relative terms ?,They are relative terms.,"Since the relative density is a ratio of similar quantities, it has no unit.
 "
Can an object be at rest as well as in motion at the same time ?,Yes. An object may be at rest related to one object and at the same time it may be in motion related to another object.,"9.3 Inertia and Mass All the examples and activities given so far illustrate that there is a resistance offered by an object to change its state of motion. If it is at rest it tends to remain at rest; if it is moving it tends to keep moving. This property of an object is called its inertia. Do all bodies have the same inertia? We know that it is easier to push an empty box than a box full of books. Similarly, if we kick a football it flies away. But if we kick a stone of the same size with equal force, it hardly moves. We may, in fact, get an injury in our foot while doing so! Similarly, in activity 9.2, instead of a
 "
What indicates the motion of the earth ?,The phenomena like coming of day and night indicate the motion of the earth.,"Chapter 8 MOTION In everyday life, we see some objects at rest and others in motion. Birds fly, fish swim, blood flows through veins and arteries, and cars move. Atoms, molecules, planets, stars and galaxies are all in motion. We often perceive an object to be in motion when its position changes with time. However, there are situations where the motion is inferred through indirect evidences. For example, we infer the motion of air by observing the movement of dust and the movement of leaves and branches of trees. What causes the phenomena of sunrise, sunset and changing of seasons? Is it due to the motion of the earth? If it is true, why don’t we directly perceive the motion of the earth? An object may appear to be moving for one person and stationary for some other. For the passengers in a moving bus, the roadside trees appear to be moving backwards. A person standing on the road–side perceives the bus alongwith the passengers as moving. However, a passenger inside the bus sees his fellow passengers to be at rest. What do these observations indicate? Most motions are complex. Some objects may move in a straight line, others may take a circular path. Some may rotate and a few others may vibrate. There may be situations involving a combination of these. In this chapter, we shall first learn to describe the motion of objects along a straight line. We shall also learn to express such motions through simple equations and graphs. Later, we shall discuss ways of describing circular motion.
 "
Is speed a scalar or vector quantity ?,It is a scalar quantity.,"To answer such a question, we have to introduce another physical quantity called acceleration, which is a measure of the change in the velocity of an object per unit time. That is,
 "
Give two examples of vector quantities.,Velocity and acceleration.,"change in velocity acceleration =
 "
What do you mean by displacement ?,The shortest distance moved by a body in the direction from initial to final position is called displacement.,"while the magnitude of displacement = 35 km. Thus, the magnitude of displacement (35 km) is not equal to the path length (85 km). Further, we will notice that the magnitude of the displacement for a course of motion may be zero but the corresponding distance covered is not zero. If we consider the object to travel back to O, the final position concides with the initial position, and therefore, the displacement is zero. However, the distance covered in this journey is OA + AO = 60 km + 60 km = 120 km. Thus, two different physical quantities — the distance and the
 Fig. 8.1: Positions of an object on a straight line path
 The total path length covered by the object is OA + AC, that is 60 km + 35 km = 95 km. This is the distance covered by the object. To describe distance we need to specify only the numerical value and not the direction of motion. There are certain quantities which are described by specifying only their numerical values. The numerical value of a physical quantity is its magnitude. From this example, can you find out the distance of the final position C of the object from the initial position O? This difference will give you the numerical value of the displacement of the object from O to C through A. The shortest distance measured from the initial to the final position of an object is known as the displacement. Can the magnitude of the displacement be equal to the distance travelled by an object? Consider the example given in (Fig. 8.1). For motion of the object from O to A, the distance covered is 60 km and the magnitude of displacement is also 60 km. During its motion from O to A and back to B, the distance covered = 60 km + 25 km = 85 km
 If an object travels a distance s in time t then its speed v is, v=
 "
Is displacement a scalar quantity ?,"No, it is a vector quantity as it has both magnitude and direction.","while the magnitude of displacement = 35 km. Thus, the magnitude of displacement (35 km) is not equal to the path length (85 km). Further, we will notice that the magnitude of the displacement for a course of motion may be zero but the corresponding distance covered is not zero. If we consider the object to travel back to O, the final position concides with the initial position, and therefore, the displacement is zero. However, the distance covered in this journey is OA + AO = 60 km + 60 km = 120 km. Thus, two different physical quantities — the distance and the
 "
"If the displacement of a body is zero, is it necessary that the distance covered by it is also zero ?","No. When the body comes back to the same position after travelling a distance, its displacement is zero though it has travelled some distance.","Displacement
 "
Q. 21.		Can the displacement be greater than the distance travelled by an object ?,"No, it is always either equal to or less than the distance travelled by the object.","10.3 Mass We have learnt in the previous chapter that the mass of an object is the measure of its inertia (section 9.3). We have also learnt that greater the mass, the greater is the inertia. It remains the same whether the object is on the earth, the moon or even in outer space. Thus, the mass of an object is constant and does not change from place to place.
 "
When do the distance and displacement of a moving object have the same magnitude ?,The magnitude of distance and displacement of moving object are same when the object moves along the same straight line in the same fixed direction.,"while the magnitude of displacement = 35 km. Thus, the magnitude of displacement (35 km) is not equal to the path length (85 km). Further, we will notice that the magnitude of the displacement for a course of motion may be zero but the corresponding distance covered is not zero. If we consider the object to travel back to O, the final position concides with the initial position, and therefore, the displacement is zero. However, the distance covered in this journey is OA + AO = 60 km + 60 km = 120 km. Thus, two different physical quantities — the distance and the
 Fig. 8.1: Positions of an object on a straight line path
 The total path length covered by the object is OA + AC, that is 60 km + 35 km = 95 km. This is the distance covered by the object. To describe distance we need to specify only the numerical value and not the direction of motion. There are certain quantities which are described by specifying only their numerical values. The numerical value of a physical quantity is its magnitude. From this example, can you find out the distance of the final position C of the object from the initial position O? This difference will give you the numerical value of the displacement of the object from O to C through A. The shortest distance measured from the initial to the final position of an object is known as the displacement. Can the magnitude of the displacement be equal to the distance travelled by an object? Consider the example given in (Fig. 8.1). For motion of the object from O to A, the distance covered is 60 km and the magnitude of displacement is also 60 km. During its motion from O to A and back to B, the distance covered = 60 km + 25 km = 85 km
 "
What is the duration of the time interval needed for uniform or non-uniform motion ?,It may be of any duration—small or large.,"1. Size : generally small ( 1-10 µm) 1 µm = 10–6 m
 1. Size: generally large ( 5-100 µm)
 SMALL ARE THESE PARTICLES
 "
Give two examples of non-uniform motion.,A car moving in a crowded street and a person jogging in a park.,"Fig. 8.9: The motion of an athlete along closed tracks of different shapes.
 "
Give the technical term used for the rate of motion of a body.,Speed.,"Average speed =
 "
What is the S.I. unit of speed ?,Metre per sec i.e. ms–1.,"Distance in metres
 "
"Is it true that to specify the speed of any object, we require only its magnitude ?",Yes.,"Now answer
 "
How can the velocity of an object be changed ?,"It can be changed by changing either :  the object’s speed,  direction of motion, or  both.","Fig. 9.1: Pushing, pulling, or hitting objects change their state of motion.
 "
"A body is moving with a velocity of 10 m/s. If the motion is uniform, what will be the velocity after 10 s ?","As the motion is uniform, the velocity will remain 10 m/s after 10 s.","8.3 Rate of Change of Velocity During uniform motion of an object along a straight line, the velocity remains constant with time. In this case, the change in velocity of the object for any time interval is zero. However, in non-uniform motion, velocity varies with time. It has different values at different instants and at different points of the path. Thus, the change in velocity of the object during any time interval is not zero. Can we now express the change in velocity of an object?
 "
Can a body have constant speed but variable velocity ?,"Yes, e.g. a body in uniform circular motion has constant speed but due to the change in the direction of motion, its velocity changes at every point.","8.6 Uniform Circular Motion When the velocity of an object changes, we say that the object is accelerating. The change in the velocity could be due to change in its magnitude or the direction of the motion or both. Can you think of an example when an object does not change its magnitude of velocity but only its direction of motion?
 "
What is the rate of change of velocity called ?,Acceleration.,"To answer such a question, we have to introduce another physical quantity called acceleration, which is a measure of the change in the velocity of an object per unit time. That is,
 Solution:
 change in velocity acceleration =
 The acceleration of the train is
 "
What is the S.I. unit of acceleration ?,metre per 2 i.e. ms–2.,"= 0.2 m s–2
 "
When is the acceleration taken as negative ?,"When a body in motion stops to rest its acceleration is taken –ve, i.e., when final velocity is less than initial velocity.","If the velocity of an object changes from an initial value u to the final value v in time t, the acceleration a is, a=
 "
What is uniform acceleration ?,Acceleration of an object is said to be uniform if it travels in a straight line and its velocity increases or decreases  by equal amounts in equal intervals of time.,"This kind of motion is known as accelerated motion. The acceleration is taken to be positive if it is in the direction of velocity and negative when it is opposite to the direction of velocity. The SI unit of acceleration is m s–2 . If an object travels in a straight line and its velocity increases or decreases by equal amounts in equal intervals of time, then the acceleration of the object is said to be uniform. The motion of a freely falling body is an example of uniformly accelerated motion. On the other hand, an object can travel with non-uniform acceleration if its velocity changes at a non-uniform rate. For example, if a car travelling along a straight road increases its speed by unequal amounts in equal intervals of time, then the car is said to be moving with non-uniform acceleration.
 "
Give an example of a uniformly accelerated motion.,Motion of a freely falling body.,"MOTION
 "
Give an example of non-uniform acceleration.,A car travelling along a straight road increasing its speed by unequal amounts in equal intervals of time.,"Example 11.4 What is the work to be done to increase the velocity of a car from 30 km h–1 to 60 km h–1 if the mass of the car is 1500 kg? Solution: Mass of the car, m =1500 kg, initial velocity of car, u = 30 km h–1 30 × 1000 m 60 × 60 s
 "
How can the change in position of an object with time be represented ?,It can be represented on the distance-time graph .,"8.4.1 DISTANCE–TIME GRAPHS The change in the position of an object with time can be represented on the distance-time graph adopting a convenient scale of choice. In this graph, time is taken along the x–axis and distance is taken along the y-axis. Distance-time graphs can be employed under various conditions where objects move with uniform speed, non-uniform speed, remain at rest etc.
 distance travelled by the object is directly proportional to time taken. Thus, for uniform speed, a graph of distance travelled against time is a straight line, as shown in Fig. 8.3. The portion OB of the graph shows that the distance is increasing at a uniform rate. Note that, you can also use the term uniform velocity in place of uniform speed if you take the magnitude of displacement equal to the distance travelled by the object along the y-axis. We can use the distance-time graph to determine the speed of an object. To do so, consider a small part AB of the distance-time graph shown in Fig 8.3. Draw a line parallel to the x-axis from point A and another line parallel to the y-axis from point B. These two lines meet each other at point C to form a triangle ABC. Now, on the graph, AC denotes the time interval (t2 – t1) while BC corresponds to the distance (s2 – s1). We can see from the graph that as the object moves from the point A to B, it covers a distance (s2 – s1) in time (t2 – t1). The speed, v of the object, therefore can be represented as v=
 Fig. 8.4: Distance-time graph for a car moving with non-uniform speed
 The distance-time graph for the motion of the car is shown in Fig. 8.4. Note that the shape of this graph is different from the earlier distance-time graph (Fig. 8.3) for uniform motion. The nature of this graph shows nonlinear variation of the distance travelled by the car with time. Thus, the graph shown in Fig 8.4 represents motion with non-uniform speed.
 "
On which axis are time and distance generally taken in a distance-time graph ?,On the x - and y - axis respectively.,"X and
 18 8
 X in the
 X in the
 sample? 12. If Z = 3, what would be the valency of the element? Also, name the element. 13. Composition of the nuclei of two atomic species X and Y are given as under X
 Y
 "
How are the distance travelled by an object related to the time taken when an object travels equal distances in equal intervals of time ?,"In this case, distance travelled by the object is directly proportional to the time taken i.e., s ∝ t. 1","8.4.1 DISTANCE–TIME GRAPHS The change in the position of an object with time can be represented on the distance-time graph adopting a convenient scale of choice. In this graph, time is taken along the x–axis and distance is taken along the y-axis. Distance-time graphs can be employed under various conditions where objects move with uniform speed, non-uniform speed, remain at rest etc.
 distance travelled by the object is directly proportional to time taken. Thus, for uniform speed, a graph of distance travelled against time is a straight line, as shown in Fig. 8.3. The portion OB of the graph shows that the distance is increasing at a uniform rate. Note that, you can also use the term uniform velocity in place of uniform speed if you take the magnitude of displacement equal to the distance travelled by the object along the y-axis. We can use the distance-time graph to determine the speed of an object. To do so, consider a small part AB of the distance-time graph shown in Fig 8.3. Draw a line parallel to the x-axis from point A and another line parallel to the y-axis from point B. These two lines meet each other at point C to form a triangle ABC. Now, on the graph, AC denotes the time interval (t2 – t1) while BC corresponds to the distance (s2 – s1). We can see from the graph that as the object moves from the point A to B, it covers a distance (s2 – s1) in time (t2 – t1). The speed, v of the object, therefore can be represented as v=
 Let us consider that the object has travelled a distance s in time t under uniform acceleration a. In Fig. 8.8, the distance travelled by the object is obtained by the area enclosed within OABC under the velocity-time graph AB. Thus, the distance s travelled by the object is given by s = area OABC (which is a trapezium) = area of the rectangle OADC + area of the triangle ABD
 "
What type of distance-time graph will you get for uniform speed ?,It will be a straight line.,"8.1.1 MOTION ALONG A STRAIGHT LINE The simplest type of motion is the motion along a straight line. We shall first learn to describe this by an example. Consider the motion of an object moving along a straight path. The object starts its journey from O which is treated as its reference point (Fig. 8.1). Let A, B and C represent the position of the object at different instants. At first, the object moves through C and B and reaches A. Then it moves back along the same path and reaches C through B.
 while the magnitude of displacement = 35 km. Thus, the magnitude of displacement (35 km) is not equal to the path length (85 km). Further, we will notice that the magnitude of the displacement for a course of motion may be zero but the corresponding distance covered is not zero. If we consider the object to travel back to O, the final position concides with the initial position, and therefore, the displacement is zero. However, the distance covered in this journey is OA + AO = 60 km + 60 km = 120 km. Thus, two different physical quantities — the distance and the
 Fig. 8.1: Positions of an object on a straight line path
 A straight line that meets the circle at one and only one point is called a tangent to the circle. Straight line ABC is a tangent to the circle at point B.
 "
Why is the motion of a circulating fan nonuniform ?,The motion of a circulating fan is non-uniform because the direction of motion changes at every point.,"UNIFORM MOTION
 "
Give one example of a body whose average velocity is zero. 1 Mark each,"When the body returns back to initial point, e.g., when an athlete returns back to starting point, his average velocity is zero.","Average velocity =
 "
Give one example of a body whose average speed is zero.,Average speed of a moving body can never be zero.,"8.3 Rate of Change of Velocity During uniform motion of an object along a straight line, the velocity remains constant with time. In this case, the change in velocity of the object for any time interval is zero. However, in non-uniform motion, velocity varies with time. It has different values at different instants and at different points of the path. Thus, the change in velocity of the object during any time interval is not zero. Can we now express the change in velocity of an object?
 "
Name the plastid which gives red colour to tomato and purple colour to brinjal. ,Chromoplast.,"Cell-wall Chloroplast Pyrenoids Nucleus Cytoplasm
 "
What is the primary function of leucoplasts ? ,"They store starch, oils, protein granules.  1","Protein
 "
Who discovered cell ? ,Rober Hooke.  1,"Tape worm
 "
Expand ATP. Where it is produced ?  1 Mark each,Adenosine Triphosphate. It is produced in mitochondria.  ½+½,"5.2.5 (iv) MITOCHONDRIA Mitochondria are known as the powerhouses of the cell. Mitochondria have two membrane coverings. The outer membrane is porous while the inner membrane is deeply folded. These folds increase surface area for ATPgenerating chemical reactions. The energy required for various chemical activities needed for life is released by mitochondria in the form of ATP (Adenosine triphopshate) molecules. ATP is known as the energy currency of the cell. The body uses energy stored in ATP for making new chemical compounds and for mechanical work. Mitochondria are strange organelles in the sense that they have their own DNA and ribosomes. Therefore, mitochondria are able to make some of their own proteins.
 "
Name the process through which an amoeba acquires its food from the external environment. ,The process through which an amoeba acquires its food from the external environment is endocytosis.  1,"Amoeba
 "
State the significance of membrane biogenesis.  ,The smooth endoplasmic reticulum helps in the manufacture of fats or lipids important for cell function and building cell membrane. CELL — A BASIC UNIT OF LIFE,"The endoplasmic reticulum (ER) is a large network of membrane-bound tubes and sheets. It looks like long tubules or round or oblong bags (vesicles). The ER membrane is similar in structure to the plasma membrane. There are two types of ER– rough endoplasmic reticulum (RER) and smooth endoplasmic reticulum (SER). RER looks rough under a microscope because it has particles called ribosomes attached to its surface. The ribosomes, which are present in all active cells, are the sites of protein manufacture. The manufactured proteins are then sent to various places in the cell depending on need, using the ER. The SER helps in the manufacture of fat molecules, or lipids, important for cell function. Some of these proteins and lipids help in building the cell membrane. This pr ocess is known as membrane biogenesis. Some other proteins and lipids function as enzymes and hormones. Although the ER varies greatly in appearance in different cells, it always forms a network system.
 "
Identify the cell organelle which is known as the power house of the cell. State reason.  ,Mitochondria; as energy is released from it. ½ + ½,"5.2.5 (iv) MITOCHONDRIA Mitochondria are known as the powerhouses of the cell. Mitochondria have two membrane coverings. The outer membrane is porous while the inner membrane is deeply folded. These folds increase surface area for ATPgenerating chemical reactions. The energy required for various chemical activities needed for life is released by mitochondria in the form of ATP (Adenosine triphopshate) molecules. ATP is known as the energy currency of the cell. The body uses energy stored in ATP for making new chemical compounds and for mechanical work. Mitochondria are strange organelles in the sense that they have their own DNA and ribosomes. Therefore, mitochondria are able to make some of their own proteins.
 "
Name the cell organelle that is commonly termed as suicidal bags of the cell.  ,Lysosomes.,"5.2.5 (iii) LYSOSOMES Structurally, lysosomes are membrane-bound sacs filled with digestive enzymes. These enzymes are made by RER. Lysosomes are a kind of waste disposal system of the cell. These help to keep the cell clean by digesting any foreign material as well as worn-out cell organelles. Foreign materials entering the cell, such as bacteria or food, as well as old organelles end up in the lysosomes, which break complex substances into simpler substances. Lysosomes are able to do this because they contain powerful digestive enzymes capable of breaking down all organic material. During the disturbance in cellular metabolism, for example, when the cell gets
 "
State the function of chromosome in a cell. ,Chromosome is the carrier of genetic information.  1,"3. Chromosome: single
 3. More than one chromosome
 3. More than one chromosome
 "
Name the cell organelle which you would associate with elimination of old and worn out cells. ,Lysosomes.  1,"5.2.5 (iii) LYSOSOMES Structurally, lysosomes are membrane-bound sacs filled with digestive enzymes. These enzymes are made by RER. Lysosomes are a kind of waste disposal system of the cell. These help to keep the cell clean by digesting any foreign material as well as worn-out cell organelles. Foreign materials entering the cell, such as bacteria or food, as well as old organelles end up in the lysosomes, which break complex substances into simpler substances. Lysosomes are able to do this because they contain powerful digestive enzymes capable of breaking down all organic material. During the disturbance in cellular metabolism, for example, when the cell gets
 "
Name two cell organelles that contain their own genetic material. ,Mitochondria and chloroplast. ,"5.2.5 (iv) MITOCHONDRIA Mitochondria are known as the powerhouses of the cell. Mitochondria have two membrane coverings. The outer membrane is porous while the inner membrane is deeply folded. These folds increase surface area for ATPgenerating chemical reactions. The energy required for various chemical activities needed for life is released by mitochondria in the form of ATP (Adenosine triphopshate) molecules. ATP is known as the energy currency of the cell. The body uses energy stored in ATP for making new chemical compounds and for mechanical work. Mitochondria are strange organelles in the sense that they have their own DNA and ribosomes. Therefore, mitochondria are able to make some of their own proteins.
 5.2.5 (V) PLASTIDS Plastids are present only in plant cells. There are two types of plastids – chromoplasts (coloured plastids) and leucoplasts (white or colourless plastids). Chromoplasts containing the pigment chlorophyll are known as chloroplasts. Chloroplasts are important for photosynthesis in plants. Chloroplasts also contain various yellow or orange pigments in addition to chlorophyll. Leucoplasts are primarily organelles in which materials such as starch, oils and protein granules are stored. The internal organisation of the Chloroplast consists of numerous membrane layers embedded in a material called the stroma. These are similar to mitochondria in external structure. Like the mitochondria, plastids also have their own DNA and ribosomes.
 Cell-wall Chloroplast Pyrenoids Nucleus Cytoplasm
 "
Identify and name the following cell structures :  The undefined nuclear region of prokaryotic cell.  Site of energy release inside the cell. , Nucleoid  Mitochondria. ,"Nucleoid
 "
"When a living plant cell loses water through osmosis, there is contraction of the contents of the cell away from the cell wall. What is this phenomenon called ? ",Plasmolysis.  1,"5.2.2 CELL WALL Plant cells, in addition to the plasma membrane, have another rigid outer covering called the cell wall. The cell wall lies outside the plasma membrane. The plant cell wall is mainly composed of cellulose. Cellulose is a complex substance and provides structural strength to plants. When a living plant cell loses water through osmosis there is shrinkage or contraction of the contents of the cell away from the cell wall. This phenomenon is known as plasmolysis. We can observe this phenomenon by performing the following activity:
 Monoatomic
 Helium
 Monoatomic
 "
Mention the change in human red blood cells when they are placed in hypotonic salt / sugar solution. ,They will respectively shrink or burst. ,"Fig. 9.2: (a) A spring expands on application of force; (b) A spherical rubber ball becomes oblong as we apply force on it.
 "
Name the main constituent substance present in plant cell wall and state its function. ,Cellulose. It provides structural strength to plant.  ½ + ½,"5.2.2 CELL WALL Plant cells, in addition to the plasma membrane, have another rigid outer covering called the cell wall. The cell wall lies outside the plasma membrane. The plant cell wall is mainly composed of cellulose. Cellulose is a complex substance and provides structural strength to plants. When a living plant cell loses water through osmosis there is shrinkage or contraction of the contents of the cell away from the cell wall. This phenomenon is known as plasmolysis. We can observe this phenomenon by performing the following activity:
 "
Name the kind of plastid which is important for photosynthesis in leaves of the plants. ,Chloroplast.  1,"5.2.5 (V) PLASTIDS Plastids are present only in plant cells. There are two types of plastids – chromoplasts (coloured plastids) and leucoplasts (white or colourless plastids). Chromoplasts containing the pigment chlorophyll are known as chloroplasts. Chloroplasts are important for photosynthesis in plants. Chloroplasts also contain various yellow or orange pigments in addition to chlorophyll. Leucoplasts are primarily organelles in which materials such as starch, oils and protein granules are stored. The internal organisation of the Chloroplast consists of numerous membrane layers embedded in a material called the stroma. These are similar to mitochondria in external structure. Like the mitochondria, plastids also have their own DNA and ribosomes.
 "
Name the cell organelle that detoxifies poisons and drugs into liver of vertebrates. ,Smooth Endoplasmic Reticulum. ,"The endoplasmic reticulum (ER) is a large network of membrane-bound tubes and sheets. It looks like long tubules or round or oblong bags (vesicles). The ER membrane is similar in structure to the plasma membrane. There are two types of ER– rough endoplasmic reticulum (RER) and smooth endoplasmic reticulum (SER). RER looks rough under a microscope because it has particles called ribosomes attached to its surface. The ribosomes, which are present in all active cells, are the sites of protein manufacture. The manufactured proteins are then sent to various places in the cell depending on need, using the ER. The SER helps in the manufacture of fat molecules, or lipids, important for cell function. Some of these proteins and lipids help in building the cell membrane. This pr ocess is known as membrane biogenesis. Some other proteins and lipids function as enzymes and hormones. Although the ER varies greatly in appearance in different cells, it always forms a network system.
 Smooth muscle fibres
 Nucleus Smooth muscle fibre (Cell)
 "
Name two cell organelles having doublemembrane envelope. ,Chloroplast and mitochondria. ,"5.2.5 (iv) MITOCHONDRIA Mitochondria are known as the powerhouses of the cell. Mitochondria have two membrane coverings. The outer membrane is porous while the inner membrane is deeply folded. These folds increase surface area for ATPgenerating chemical reactions. The energy required for various chemical activities needed for life is released by mitochondria in the form of ATP (Adenosine triphopshate) molecules. ATP is known as the energy currency of the cell. The body uses energy stored in ATP for making new chemical compounds and for mechanical work. Mitochondria are strange organelles in the sense that they have their own DNA and ribosomes. Therefore, mitochondria are able to make some of their own proteins.
 5.2.5 (V) PLASTIDS Plastids are present only in plant cells. There are two types of plastids – chromoplasts (coloured plastids) and leucoplasts (white or colourless plastids). Chromoplasts containing the pigment chlorophyll are known as chloroplasts. Chloroplasts are important for photosynthesis in plants. Chloroplasts also contain various yellow or orange pigments in addition to chlorophyll. Leucoplasts are primarily organelles in which materials such as starch, oils and protein granules are stored. The internal organisation of the Chloroplast consists of numerous membrane layers embedded in a material called the stroma. These are similar to mitochondria in external structure. Like the mitochondria, plastids also have their own DNA and ribosomes.
 Cell-wall Chloroplast Pyrenoids Nucleus Cytoplasm
 "
Name any two materials stored in leucoplasts. ,Starch/oils/protein granule.  ½ + ½ ,"Protein
 "
A de-shelled egg is placed in a concentrated salt solution and observed after five minutes. What change takes place ? ,The egg shrinks. ,"divides to form two identical daughter cells (Fig. 5.7). The daughter cells have the same number of chromosomes as mother cell. It helps in growth and repair of tissues in organisms. Specific cells of reproductive organs or tissues in animals and plants divide to form gametes, which after fertilisation give rise to
 offspring. They divide by a different process called meiosis which involves two consecutive divisions. When a cell divides by meiosis it produces four new cells instead of just two (Fig. 5.8). The new cells only have half the number of chromosomes than that of the mother cells. Can you think as to why the chromosome number has reduced to half in daughter cells?
 Egg
 "
Name the cell organelle which is associated with protein synthesis. ,Ribosomes.  1,"Ribosomes
 5.2.5 (i) ENDOPLASMIC RETICULUM (ER)
 uestion 1. Fill in the gaps in the following table illustrating differences between prokaryotic and eukaryotic cells.
 Prokaryotic Cell
 "
Name two components of chromosomes. ,Proteins and DNA. ,"Protein
 "
List the constituents of plasma membrane. ,Lipids and Proteins. ,"Protein
 "
Name the organelle which has membrane bound sac filled with powerful digestive enzymes. ,Lysosomes.  1,"5.2.5 (iii) LYSOSOMES Structurally, lysosomes are membrane-bound sacs filled with digestive enzymes. These enzymes are made by RER. Lysosomes are a kind of waste disposal system of the cell. These help to keep the cell clean by digesting any foreign material as well as worn-out cell organelles. Foreign materials entering the cell, such as bacteria or food, as well as old organelles end up in the lysosomes, which break complex substances into simpler substances. Lysosomes are able to do this because they contain powerful digestive enzymes capable of breaking down all organic material. During the disturbance in cellular metabolism, for example, when the cell gets
 "
"Identify the single celled organisms from the following : Cockroach, Chlamydomonas, snake, mosquito, bacteria. ",Chlamydomonas and bacteria. ,"Bacteria
 "
"Name :  the cells which have changing shape,  the cells which have a typical shape. "," Amoeba,  Nerve cell. ","Nerve Cell
 "
Name the plastid involved in conversion of a green brinjal to violet. ,Chromoplast.  1,"Cell-wall Chloroplast Pyrenoids Nucleus Cytoplasm
 "
Name the process through which an Amoeba acquires its food from the external environment. ,Endocytosis.  1,"Fig. 5.7: Mitosis
 Fig. 5.8: Meiosis
 Fig. 5.8: Meiosis
 divides to form two identical daughter cells (Fig. 5.7). The daughter cells have the same number of chromosomes as mother cell. It helps in growth and repair of tissues in organisms. Specific cells of reproductive organs or tissues in animals and plants divide to form gametes, which after fertilisation give rise to
 offspring. They divide by a different process called meiosis which involves two consecutive divisions. When a cell divides by meiosis it produces four new cells instead of just two (Fig. 5.8). The new cells only have half the number of chromosomes than that of the mother cells. Can you think as to why the chromosome number has reduced to half in daughter cells?
 "
Name the cell organelle responsible for intracellular transport.,Endoplasmic Reticulum. ,"The endoplasmic reticulum (ER) is a large network of membrane-bound tubes and sheets. It looks like long tubules or round or oblong bags (vesicles). The ER membrane is similar in structure to the plasma membrane. There are two types of ER– rough endoplasmic reticulum (RER) and smooth endoplasmic reticulum (SER). RER looks rough under a microscope because it has particles called ribosomes attached to its surface. The ribosomes, which are present in all active cells, are the sites of protein manufacture. The manufactured proteins are then sent to various places in the cell depending on need, using the ER. The SER helps in the manufacture of fat molecules, or lipids, important for cell function. Some of these proteins and lipids help in building the cell membrane. This pr ocess is known as membrane biogenesis. Some other proteins and lipids function as enzymes and hormones. Although the ER varies greatly in appearance in different cells, it always forms a network system.
 "
Name the functional unit of DNA that carries genetic information. ,Genes.  1,"1
 1
 "
What will happen if chloroplast is taken out of the cell and illuminated ? ,Chloroplast is a semiautonomous cell organelle which on illumination can perform its function of photosynthesis and release oxygen even outside the cell provided it is kept in isotonic medium and receive raw material of carbon dioxide.,"Chromoplasts that contain chlorophyll are called chloroplasts and they perform photosynthesis. The primary function of leucoplasts is storage. Most mature plant cells have a large central vacuole that helps to maintain the turgidity of the cell and stores important substances including wastes. Prokaryotic cells have no membrane-bound organelles, their chromosomes are composed of only nucleic acid, and they have only very small ribosomes as organelles. Cells in organisms divide for growth of body, for repalcing dead cells, and for forming gametes for reproduction.
 "
